date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2014-05-01,0,0,1,1,0,0,1,1,0,0,1,1
2014-05-02,1,1,1,1,1,1,1,1,1,1,1,1
2014-05-03,1,1,1,1,1,1,1,1,1,1,1,1
2014-05-04,1,1,1,1,1,1,1,1,1,1,1,1
2014-05-05,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-06,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-07,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-08,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-09,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-10,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-11,0,1,1,1,0,1,1,1,0,1,1,1
2014-05-12,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-13,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-14,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-15,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-16,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-17,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-18,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-19,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-20,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-21,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-22,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-23,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-24,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-25,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-26,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-27,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-28,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-29,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-30,0,0,0,1,0,0,0,1,0,0,0,1
2014-05-31,0,0,0,1,0,0,0,1,0,0,0,1
