date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2023-07-01,0,0,0,1,0,0,0,1,0,0,0,1
2023-07-02,0,0,0,1,0,0,0,1,0,0,0,1
2023-07-03,0,0,0,1,0,0,0,1,0,0,0,1
2023-07-04,0,0,0,1,0,0,0,1,0,0,0,1
2023-07-05,0,0,0,1,0,0,0,1,0,0,0,1
2023-07-06,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-07,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-08,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-09,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-10,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-11,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-12,0,0,1,1,0,0,1,1,0,0,1,1
2023-07-13,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-14,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-15,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-16,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-17,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-18,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-19,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-20,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-21,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-22,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-23,1,1,1,1,1,1,1,1,1,1,1,1
2023-07-24,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-25,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-26,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-27,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-28,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-29,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-30,0,1,1,1,0,1,1,1,0,1,1,1
2023-07-31,0,0,0,1,0,0,0,1,0,0,0,1
